usuario,deck,skill,ndmax,zerotg,zephra,bryan,xenoblur,yamiglen,rax
6453,Solfachord,Péndulos Unidos,2023-06-06,0,1,0,0,0,0
0077,Orcust,Tumbas Selladas,2023-06-06,0,1,0,0,0,0
2150,Rokket,Lanzamiento Borre,2023-06-06,0,1,0,0,0,0
1728,Odd-Eyes,Péndulo Rabioso,2023-06-06,0,1,0,0,0,0
6908,Orcust,Cambios,2023-06-06,0,1,0,1,0,0
1109,Speedroid,Aceleración ala Transparente,2023-06-06,0,1,0,0,0,0
3721,Elemental Heros,Alianza de Héroes,2023-06-06,0,1,0,0,0,0
4150,Odd-Eyes,Péndulo Rabioso,2023-06-06,0,1,0,0,0,0
2015,Rokket,Lanzamiento Borre,2023-06-06,0,1,0,0,0,0
9723,S-Force,Vinculaciones,2023-06-06,0,1,0,0,0,0
6504,Chronomaly,Portal de Otra Dimensión,2023-06-06,0,1,0,0,1,0
1108,Elemental Heros,Alianza de Héroes,2023-06-06,0,0,1,0,0,0
4506,Odd-Eyes,Péndulo Rabioso,2023-06-06,0,0,1,1,0,0
9758,Orcust,Tumbas Selladas,2023-06-06,0,0,1,0,0,0
6216,Orcust,Tumbas Selladas,2023-06-06,0,0,1,0,0,0
5747,Speedroid,Aceleración ala Transparente,2023-06-06,0,0,1,0,1,0
5969,Odd-Eyes,Péndulo Rabioso,2023-06-06,0,0,1,0,0,0
2255,Railway,Tren Imparable,2023-06-06,0,0,1,0,0,0
2849,Odd-Eyes,Péndulo Rabioso,2023-06-06,0,0,1,0,0,0
7316,Speedroid,Aceleración ala Transparente,2023-06-06,0,0,0,1,0,0
2482,Odd-Eyes,Péndulo Rabioso,2023-06-07,0,0,0,0,0,1
1497,Solfachord,Péndulos Unidos,2023-06-08,0,1,0,0,0,1
8287,Raidraptor,Alzamiento de los Ráptors,2023-06-07,1,1,0,0,0,0
8212,Odd-Eyes,Péndulo Rabioso,2023-06-07,1,0,0,0,0,0
5825,Orcust,Tumbas Selladas,2023-06-07,1,0,0,0,0,0
6265,Timelord,"Vacío, Infinito y Luz Infinita",2023-06-07,1,0,0,0,0,0
4531,Speedroid,Aceleración ala Transparente,2023-06-07,1,0,0,0,0,0
3230,Speedroid,Aceleración ala Transparente,2023-06-07,1,0,0,0,0,0
7281,Orcust,Tumbas Selladas,2023-06-07,1,0,0,0,0,0
5679,Speedroid,Aceleración ala Transparente,2023-06-07,1,0,0,1,0,0
7744,Rose Dragon,Conjuro de Rosas,2023-06-07,1,0,1,0,0,0
3052,Synchrons,Camino de la Estrella Fugaz,2023-06-07,1,1,0,0,0,0
2689,Orcust,Cambios,2023-06-07,1,0,0,0,0,0
8673,Orcust,Tumbas Selladas,2023-06-07,1,0,0,0,0,0
5236,Rokket,Lanzamiento Borre,2023-06-07,0,1,0,0,0,0
0874,Speedroid,Aceleración ala Transparente,2023-06-07,0,1,0,0,0,0
8171,Red-Eyes,Ruleta de Ojos Rojos,2023-06-07,0,1,1,1,1,0
5592,Speedroid,Aceleración ala Transparente,2023-06-07,0,1,0,0,0,0
4014,Orcust,Aumento de LP alfa,2023-06-07,0,1,0,0,0,0
7347,Elemental Heros,Alianza de Héroes,2023-06-07,0,1,0,0,0,0
5342,Odd-Eyes,Péndulo Rabioso,2023-06-07,0,1,0,0,0,0
4385,Speedroid,Aceleración ala Transparente,2023-06-07,0,0,1,0,0,0
6162,Speedroid,Aceleración ala Transparente,2023-06-07,0,0,1,0,0,0
8875,Elemental Heros,Alianza de Héroes,2023-06-07,0,0,1,0,0,0
0701,Speedroid,Aceleración ala Transparente,2023-06-07,0,0,1,0,0,0
1859,Speedroid,Aceleración ala Transparente,2023-06-07,0,0,1,1,0,0
5659,Resonators,Alma Rugiente,2023-06-07,0,0,1,0,0,0
1307,War Rock,Aumento de LP alfa,2023-06-07,0,0,1,0,0,0
8444,Odd-Eyes,Péndulo Rabioso,2023-06-07,0,0,1,0,0,0
8728,Odd-Eyes,Péndulo Rabioso,2023-06-07,0,0,1,0,0,0
6244,Orcust,Cambios,2023-06-07,0,0,1,0,0,0
1329,Speedroid,Aceleración ala Transparente,2023-06-07,0,0,1,0,0,0
0057,Orcust,Robar sentido Nivel bajo,2023-06-07,0,0,0,1,0,0
2444,Synchrons,Camino de la Estrella Fugaz,2023-06-07,0,0,0,1,0,0
6713,Synchrons,Camino de la Estrella Fugaz,2023-06-07,0,0,0,1,0,0
9294,Orcust,Cristales Trascendentes,2023-06-07,0,0,0,1,0,0
7424,Trickstar,Sonrisa del Hada,2023-06-08,1,0,0,0,0,0
5822,Orcust,Cambios,2023-06-08,1,0,0,0,0,0
9361,Orcust,Tres Efectos,2023-06-08,1,1,0,0,0,0
4492,Ritual Beats,Robo del Destino,2023-06-08,1,0,0,1,0,0
1894,Odd-Eyes,Péndulo Rabioso,2023-06-08,1,1,0,0,0,0
0878,Speedroid,Aceleración ala Transparente,2023-06-08,1,0,0,0,0,0
3175,Code Talker Salamangreat,Codificador Hablador Vivo,2023-06-08,0,1,0,1,0,0
6675,Speedroid,Aceleración ala Transparente,2023-06-08,0,1,0,0,0,0
4453,Speedroid,Aceleración ala Transparente,2023-06-08,0,1,0,0,0,0
4137,Orcust,Cambios,2023-06-08,0,1,0,0,0,0
4804,Speedroid,Aceleración ala Transparente,2023-06-08,0,1,0,1,0,0
1270,Rokket,Lanzamiento Borre,2023-06-08,0,1,0,0,0,0
1075,Speedroid,Aceleración ala Transparente,2023-06-08,0,1,1,0,0,0
3181,D/D/D,El Mando del Rey de la Perdición,2023-06-08,0,1,0,0,0,0
8304,Rokket,Lanzamiento Borre,2023-06-08,0,1,0,0,0,0
9515,Resonators,Alma Rugiente,2023-06-08,0,1,0,0,0,0
4712,S-Force,Vinculaciones,2023-06-08,0,1,0,0,0,0
7320,Odd-Eyes,Péndulo Rabioso,2023-06-08,0,1,0,0,0,0
3003,Orcust,Vinculaciones,2023-06-08,0,0,1,0,0,0
7068,Mermail Atlantean,Territorio de Tiburones,2023-06-08,0,0,1,0,0,0
4612,Block Dragon,Mundo Sonriente,2023-06-08,0,0,1,0,0,0
5276,Synchrons,Un Vínculo Ilumina el Futuro,2023-06-08,0,0,1,0,0,0
6036,Odd-Eyes,Péndulo Rabioso,2023-06-08,0,0,0,1,0,0
4974,Orcust,Cambios,2023-06-08,0,0,0,1,0,0
4452,Orcust,Tumbas Selladas,2023-06-08,0,0,0,1,0,0
9951,Synchrons,Camino de la Estrella Fugaz,2023-06-08,0,0,0,1,0,0
3672,Phantom Knights,Fantasma de la Traición,2023-06-09,0,0,0,1,0,0
7606,Resonators,Alma Rugiente,2023-06-09,0,0,0,1,0,0
8647,Odd-Eyes,Péndulo Rabioso,2023-06-09,0,0,0,1,0,0
4055,Fortune Lady,Paso del Tiempo,2023-06-09,0,0,0,0,0,1
2085,Phantom Knights,Fantasma de la Traición,2023-06-09,0,1,1,0,1,1
6122,Orcust,Tumbas Selladas,2023-06-09,1,0,0,0,0,0
3711,Elemental Heros,Alianza de Héroes,2023-06-09,1,0,0,0,0,0
6539,Odd-Eyes,Péndulo Rabioso,2023-06-09,1,0,0,0,0,0
7396,Odd-Eyes,Péndulo Rabioso,2023-06-09,0,1,0,0,0,0
9310,Burning Abyss,Mente de la Plana,2023-06-09,0,1,0,0,0,0
5713,Resonators,Alma Rugiente,2023-06-09,0,1,0,0,0,0
2461,Orcust,Cambios,2023-06-09,0,1,0,0,0,0
7775,Gouki,El Evento Principal Gouki,2023-06-09,0,1,0,0,0,0
0136,Speedroid,Aceleración ala Transparente,2023-06-09,0,1,0,0,0,0
2027,Speedroid,Aceleración ala Transparente,2023-06-09,0,1,0,0,0,0
2284,Speedroid,Aceleración ala Transparente,2023-06-09,0,1,0,0,0,0
6508,Trickstar,Todo Listo,2023-06-09,0,1,0,0,0,0
7964,Rokket,Lanzamiento Borre,2023-06-10,0,1,0,0,0,0
9760,Necroz,Maestro de Rituales,2023-06-10,0,1,0,0,0,0
3680,Elemental Heros,Alianza de Héroes,2023-06-10,0,1,0,0,0,0
9652,Rokket,Lanzamiento Borre,2023-06-10,0,1,0,0,0,0
0982,Six Samurais,Vinculaciones,2023-06-10,0,1,0,0,0,0
1842,Resonators,Alma Rugiente,2023-06-10,0,1,0,0,0,0
8550,Railway,Tren Imparable,2023-06-10,0,1,0,0,0,0
5877,Orcust,Cambios,2023-06-10,0,1,0,0,0,0
7629,Speedroid,Aceleración ala Transparente,2023-06-10,0,1,0,0,0,0
9591,Speedroid,Aceleración ala Transparente,2023-06-10,0,1,0,0,0,0
2764,Rokket,Lanzamiento Borre,2023-06-10,0,1,0,0,0,0
